date,value
2016-05-09,100
2016-05-10,103
2016-05-11,106
2016-05-12,109
2016-05-13,112
2016-05-14,115
2016-05-15,118
2016-05-16,121
2016-05-17,124
2016-05-18,127
2016-05-19,130
2016-05-20,133
2016-05-21,136
2016-05-22,139
2016-05-23,142
2016-05-24,145
2016-05-25,148
2016-05-26,151
2016-05-27,154
2016-05-28,157
2016-05-29,160
2016-05-30,163
2016-05-31,166
2016-06-01,169
2016-06-02,172
2016-06-03,175
2016-06-04,178
2016-06-05,181
2016-06-06,184
2016-06-07,187
2016-06-08,190
2016-06-09,193
2016-06-10,196
2016-06-11,199
2016-06-12,202
2016-06-13,205
2016-06-14,208
2016-06-15,211
2016-06-16,214
2016-06-17,217
2016-06-18,220
2016-06-19,223
2016-06-20,226
2016-06-21,229
2016-06-22,232
2016-06-23,235
2016-06-24,238
2016-06-25,241
2016-06-26,244
2016-06-27,247
2016-06-28,150
2016-06-29,153
2016-06-30,156
2016-07-01,159
2016-07-02,162
2016-07-03,165
2016-07-04,168
2016-07-05,171
2016-07-06,174
2016-07-07,177
2016-07-08,180
2016-07-09,183
2016-07-10,186
2016-07-11,189
2016-07-12,192
2016-07-13,195
2016-07-14,198
2016-07-15,201
2016-07-16,204
2016-07-17,207
2016-07-18,210
2016-07-19,213
2016-07-20,216
2016-07-21,219
2016-07-22,222
2016-07-23,225
2016-07-24,228
2016-07-25,231
2016-07-26,234
2016-07-27,237
2016-07-28,240
2016-07-29,243
2016-07-30,246
2016-07-31,249
2016-08-01,252
2016-08-02,255
2016-08-03,258
2016-08-04,261
2016-08-05,264
2016-08-06,267
2016-08-07,270
2016-08-08,273
2016-08-09,276
2016-08-10,279
2016-08-11,282
2016-08-12,285
2016-08-13,288
2016-08-14,291
2016-08-15,294
2016-08-16,297
2016-08-17,200
2016-08-18,203
2016-08-19,206
2016-08-20,209
2016-08-21,212
2016-08-22,215
2016-08-23,218
2016-08-24,221
2016-08-25,224
2016-08-26,227
2016-08-27,230
2016-08-28,233
2016-08-29,236
2016-08-30,239
2016-08-31,242
2016-09-01,245
2016-09-02,248
2016-09-03,251
2016-09-04,254
2016-09-05,257
2016-09-06,260
2016-09-07,263
2016-09-08,266
2016-09-09,269
2016-09-10,272
2016-09-11,275
2016-09-12,278
2016-09-13,281
2016-09-14,284
2016-09-15,287
2016-09-16,290
2016-09-17,293
2016-09-18,296
2016-09-19,299
2016-09-20,302
2016-09-21,305
2016-09-22,308
2016-09-23,311
2016-09-24,314
2016-09-25,317
2016-09-26,320
2016-09-27,323
2016-09-28,326
2016-09-29,329
2016-09-30,332
2016-10-01,335
2016-10-02,338
2016-10-03,341
2016-10-04,344
2016-10-05,347
2016-10-06,250
2016-10-07,253
2016-10-08,256
2016-10-09,259
2016-10-10,262
2016-10-11,265
2016-10-12,268
2016-10-13,271
2016-10-14,274
2016-10-15,277
2016-10-16,280
2016-10-17,283
2016-10-18,286
2016-10-19,289
2016-10-20,292
2016-10-21,295
2016-10-22,298
2016-10-23,301
2016-10-24,304
2016-10-25,307
2016-10-26,310
